Gen, Patch, NumGrabbers, NumStingers, MaxSpeed, MaxRotation, GrabberPref
1,0,1,0,45.51161,169.8277,0.5
1,0,2,0,45.51161,169.8277,0.5
1,0,1,0,42.00413,125.5609,0.5
1,0,1,0,42.00413,125.5609,0.5
1,0,1,0,15.87513,101.7361,0.5
1,0,1,0,13.17378,95.20401,0.5
1,0,1,0,15.87513,101.7361,0.5
1,1,1,0,13.17378,95.20401,0.5
1,1,1,0,13.17378,95.20401,0.5
1,1,1,0,42.00413,125.5609,0.5
1,1,1,0,37.90123,129.4108,0.5
1,1,1,0,20.21501,91.78851,0.5
1,1,1,0,37.90123,129.4108,0.5
1,1,1,0,44.33392,177.7902,0.5
1,1,1,0,42.00413,125.5609,0.5
1,1,1,0,20.21501,91.78851,0.5
1,1,1,0,42.6564,172.5061,0.5
1,1,1,0,33.53673,141.3131,0.5
1,1,1,0,41.68079,158.1566,0.5
1,2,1,0,42.6564,172.5061,0.5
1,2,1,0,45.51161,169.8277,0.5
1,2,1,0,20.21501,91.78851,0.5
1,2,1,0,41.68079,158.1566,0.5
1,2,1,0,33.53673,141.3131,0.5
1,2,1,0,42.6564,172.5061,0.5
1,2,1,0,42.00413,125.5609,0.5
1,2,1,0,42.6564,172.5061,0.5
1,2,1,0,20.21501,91.78851,0.5
1,2,1,0,42.6564,172.5061,0.5
1,2,1,0,13.17378,95.20401,0.5
1,2,1,0,20.21501,91.78851,0.5
1,3,1,0,44.33392,177.7902,0.5
1,3,1,0,42.00413,125.5609,0.5
1,3,1,0,33.53673,141.3131,0.5
1,3,1,0,20.21501,91.78851,0.5
1,3,1,0,44.33392,177.7902,0.5
1,3,1,0,33.53673,141.3131,0.5
1,3,1,0,37.90123,129.4108,0.5
1,3,1,0,41.68079,158.1566,0.5
1,3,1,0,42.00413,125.5609,0.5
1,3,1,0,45.51161,169.8277,0.5
1,3,1,0,45.51161,169.8277,0.5
1,3,1,0,41.68079,158.1566,0.5
1,4,1,0,42.00413,125.5609,0.5
1,4,1,0,41.68079,158.1566,0.5
1,4,1,0,41.68079,158.1566,0.5
1,4,1,0,42.00413,125.5609,0.5
1,4,1,0,37.90123,129.4108,0.5
1,4,0,1,15.87513,101.7361,0.5
1,4,1,0,15.87513,101.7361,0.5
1,4,1,0,42.6564,172.5061,0.5
1,4,1,0,13.17378,95.20401,0.5
1,4,1,0,20.21501,91.78851,0.5
1,4,1,0,33.53673,141.3131,0.5
1,4,1,0,42.6564,172.5061,0.5
1,5,1,0,37.90123,129.4108,0.5
1,5,1,0,42.6564,172.5061,0.5
1,5,1,0,45.51161,169.8277,0.5
1,5,2,0,15.87513,101.7361,0.5
1,5,1,0,15.87513,101.7361,0.5
1,5,1,0,44.33392,177.7902,0.5
1,5,1,0,33.53673,141.3131,0.5
1,5,1,0,33.53673,141.3131,0.5
1,5,1,0,33.53673,141.3131,0.5
1,5,1,0,13.17378,95.20401,0.5
1,5,1,0,41.68079,158.1566,0.5
1,5,1,0,20.21501,91.78851,0.5
1,6,1,0,44.33392,177.7902,0.5
1,6,1,0,44.33392,177.7902,0.5
1,6,1,0,33.53673,141.3131,0.5
1,6,1,0,42.00413,125.5609,0.5
1,6,1,0,45.51161,169.8277,0.5
1,6,1,0,20.21501,91.78851,0.5
1,6,1,0,44.33392,177.7902,0.5
1,6,1,0,42.6564,172.5061,0.5
1,6,2,0,37.90123,129.4108,0.5
1,6,1,0,37.90123,129.4108,0.5
1,6,1,0,42.6564,172.5061,0.5
1,6,1,0,41.68079,158.1566,0.5
1,7,1,0,33.53673,141.3131,0.5
1,7,1,0,37.90123,129.4108,0.5
1,7,1,0,20.21501,91.78851,0.5
1,7,0,1,15.87513,101.7361,0.5
1,7,1,0,33.53673,141.3131,0.5
1,7,1,0,44.33392,177.7902,0.5
1,7,1,0,37.90123,129.4108,0.5
1,7,1,0,13.17378,95.20401,0.5
1,7,1,0,42.00413,125.5609,0.5
1,7,1,0,42.6564,172.5061,0.5
1,7,1,0,37.90123,129.4108,0.5
1,7,1,0,37.90123,129.4108,0.5
1,8,1,0,44.33392,177.7902,0.5
1,8,1,0,45.51161,169.8277,0.5
1,8,1,0,13.17378,95.20401,0.5
1,8,1,0,41.68079,158.1566,0.5
1,8,1,0,44.33392,177.7902,0.5
1,8,1,0,44.33392,177.7902,0.5
1,8,1,0,44.33392,177.7902,0.5
1,8,1,0,45.51161,169.8277,0.5
1,8,1,0,41.68079,158.1566,0.5
1,8,1,0,42.6564,172.5061,0.5
1,8,1,0,13.17378,95.20401,0.5
1,8,1,0,15.87513,101.7361,0.5
1,9,1,0,15.87513,101.7361,0.5
1,9,1,0,45.51161,169.8277,0.5
1,9,1,0,20.21501,91.78851,0.5
1,9,1,0,15.87513,101.7361,0.5
1,9,1,0,45.51161,169.8277,0.5
1,9,1,0,42.00413,125.5609,0.5
1,9,1,1,20.21501,91.78851,0.5
1,9,1,0,15.87513,101.7361,0.5
1,9,1,0,13.17378,95.20401,0.5
1,9,1,0,37.90123,129.4108,0.5
1,9,1,0,13.17378,95.20401,0.5
1,9,1,0,45.51161,169.8277,0.5
2,0,1,0,15.87513,101.7361,0.5
2,0,1,0,41.68079,158.1566,0.5
2,0,1,0,13.17378,95.20401,0.5
2,0,1,0,42.00413,125.5609,0.5
2,0,1,0,33.53673,141.3131,0.5
2,0,1,1,13.17378,95.20401,0.5
2,0,1,0,41.68079,158.1566,0.5
2,0,1,0,42.00413,125.5609,0.5
2,0,1,0,41.68079,158.1566,0.5
2,0,1,0,33.53673,141.3131,0.5
2,0,1,0,41.68079,158.1566,0.5
2,0,1,0,15.87513,101.7361,0.5
2,1,2,0,45.51161,169.8277,0.5
2,1,1,0,15.87513,101.7361,0.5
2,1,1,0,41.68079,158.1566,0.5
2,1,2,0,33.53673,141.3131,0.5
2,1,1,0,42.00413,125.5609,0.5
2,1,1,0,41.68079,158.1566,0.5
2,1,1,0,33.53673,141.3131,0.5
2,1,1,0,41.68079,158.1566,0.5
2,1,1,0,15.87513,101.7361,0.5
2,1,1,0,33.53673,141.3131,0.5
2,1,1,0,42.00413,125.5609,0.5
2,1,1,0,15.87513,101.7361,0.5
2,2,1,0,42.00413,125.5609,0.5
2,2,1,0,42.00413,125.5609,0.5
2,2,1,0,41.68079,158.1566,0.5
2,2,1,0,13.17378,95.20401,0.5
2,2,1,0,15.87513,101.7361,0.5
2,2,1,0,42.00413,125.5609,0.5
2,2,1,0,15.87513,101.7361,0.03201175
